state,crop,season,rainfall_mm,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,area_hectares,pesticide_kg,irrigation_mm,yield_tons_per_hectare
Karnataka,Wheat,Zaid,1015.1,30.7,35.27,20.85,66.53,6.31,32.81,32.52,39.1,23.21,9.84,1022.76,5.34
Haryana,Maize,Rabi,931.13,21.21,30.17,13.42,62.78,6.09,117.07,54.66,65.59,5.27,7.27,243.8,5.882
Bihar,Soybean,Zaid,760.59,23.44,29.66,16.62,78.55,6.43,67.57,21.35,58.54,11.21,12.57,900.27,4.082
Uttar Pradesh,Soybean,Zaid,901.08,26.58,32.31,18.49,67.68,6.91,20.74,49.35,58.22,17.78,11.82,658.92,3.673
Haryana,Wheat,Kharif,659.52,30.84,38.23,22.25,66.95,6.85,75.92,25.2,17.0,11.2,3.61,608.53,4.446
Haryana,Wheat,Kharif,647.72,28.49,34.25,20.51,59.87,6.6,86.43,30.32,67.91,4.59,0.83,290.05,4.911
Uttar Pradesh,Soybean,Rabi,852.75,28.4,36.58,21.73,63.82,6.25,83.03,28.09,20.7,3.39,14.45,1108.58,3.527
Haryana,Wheat,Rabi,1135.83,24.22,32.52,17.52,62.53,5.93,110.26,32.79,28.15,8.0,8.9,376.77,5.335
Maharashtra,Wheat,Zaid,901.19,26.11,33.61,18.21,52.72,6.61,24.16,34.7,36.44,4.04,2.0,787.64,5.048
Bihar,Soybean,Kharif,764.24,19.12,26.66,14.98,47.35,5.89,98.27,14.14,46.63,12.52,14.1,771.73,2.901
Bihar,Soybean,Kharif,758.62,22.94,27.07,13.98,66.88,6.4,75.4,15.43,58.7,7.39,10.06,926.99,3.964
Punjab,Rice,Kharif,740.15,20.08,24.3,12.75,90.54,6.01,100.83,25.86,76.94,7.63,7.97,455.97,5.785
Karnataka,Rice,Kharif,580.37,19.61,28.96,11.12,66.92,6.43,71.89,25.8,65.18,16.71,5.92,294.47,6.078
Haryana,Wheat,Rabi,580.62,19.16,23.9,10.17,62.85,6.27,79.94,53.73,27.77,8.1,11.77,1171.83,5.306
Bihar,Maize,Kharif,1159.65,26.45,34.52,21.72,64.42,5.99,78.11,19.99,67.27,18.03,11.22,331.06,5.08
Haryana,Wheat,Zaid,1070.61,28.69,38.42,22.97,56.65,6.37,75.52,41.7,21.88,3.94,6.58,1166.23,6.46
Uttar Pradesh,Rice,Zaid,528.04,23.05,27.15,18.39,56.25,6.11,43.26,36.54,54.39,21.76,9.25,612.57,5.156
Karnataka,Soybean,Kharif,463.3,18.66,24.15,13.24,51.84,7.6,30.53,13.33,53.64,4.08,12.46,510.33,2.617
Karnataka,Barley,Zaid,767.25,25.33,30.02,21.2,61.8,6.64,25.34,39.56,59.25,10.14,5.11,704.53,4.556
Bihar,Wheat,Zaid,919.63,25.51,31.01,18.09,69.63,6.04,57.36,36.19,21.61,20.92,1.25,1124.84,4.966
Uttar Pradesh,Barley,Zaid,605.71,23.64,32.32,15.79,61.49,6.44,73.61,35.71,70.74,11.84,6.08,839.56,4.918
Punjab,Barley,Kharif,463.52,27.64,33.04,21.43,75.37,6.3,57.95,44.29,34.3,23.75,13.79,680.91,4.446
Bihar,Maize,Rabi,946.58,30.14,37.34,22.34,56.63,7.09,40.24,44.74,70.95,3.74,9.41,295.1,5.598
Punjab,Barley,Rabi,504.15,25.67,35.42,16.86,83.13,6.88,99.51,57.3,31.47,14.96,1.88,816.17,4.759
Punjab,Wheat,Rabi,345.92,27.52,36.11,18.73,84.39,5.26,113.12,15.99,22.61,2.65,10.04,618.61,4.323
Uttar Pradesh,Cotton,Kharif,1085.06,27.16,35.74,21.54,54.64,6.41,35.76,17.39,75.85,11.23,6.06,929.69,3.558
Maharashtra,Barley,Zaid,1035.76,26.06,35.98,17.75,75.1,6.83,105.05,41.85,22.92,14.91,10.45,212.3,5.47
Uttar Pradesh,Soybean,Zaid,574.64,17.99,24.65,12.18,71.29,6.67,31.06,59.85,72.15,7.46,12.64,306.42,3.547
Uttar Pradesh,Cotton,Kharif,966.61,22.48,27.33,13.82,74.85,6.26,85.63,11.81,15.35,1.77,9.29,1001.48,3.134
Bihar,Barley,Kharif,700.78,29.75,39.31,21.11,78.07,7.3,24.02,20.09,23.12,12.86,11.31,830.01,3.421
Uttar Pradesh,Maize,Kharif,654.61,24.21,32.47,14.33,48.41,6.74,81.63,12.12,72.47,17.88,3.01,291.72,4.77
Bihar,Soybean,Rabi,706.06,28.14,35.96,20.7,69.34,7.29,50.13,38.9,60.49,16.41,14.14,348.44,3.449
Bihar,Soybean,Rabi,1306.94,26.35,32.02,20.52,54.85,6.7,83.46,30.59,41.57,5.83,9.03,517.04,4.409
Maharashtra,Maize,Kharif,1276.19,31.53,38.96,24.14,60.12,6.33,85.24,25.81,66.18,13.95,6.76,826.01,6.553
Uttar Pradesh,Barley,Rabi,870.13,28.9,35.93,21.78,55.65,6.76,103.74,34.71,22.53,2.27,12.71,255.57,4.471
Maharashtra,Soybean,Rabi,782.09,30.68,39.13,26.59,41.11,5.6,57.23,17.68,54.05,3.43,5.79,1158.43,4.481
Maharashtra,Maize,Zaid,952.32,18.2,24.52,10.35,63.97,6.97,72.51,18.19,25.78,20.99,14.84,755.97,4.432
Bihar,Rice,Zaid,807.9,33.02,39.37,28.54,66.58,6.65,66.93,17.53,26.76,22.72,1.15,432.85,5.667
Bihar,Rice,Rabi,323.26,22.07,27.53,13.01,67.97,6.39,87.02,48.15,18.78,9.48,8.32,538.46,5.62
Maharashtra,Cotton,Kharif,915.21,36.18,43.2,26.72,55.96,5.88,54.06,34.94,49.54,3.07,6.28,1117.34,3.462
Punjab,Maize,Kharif,1012.67,25.2,34.77,18.51,67.26,5.63,20.73,23.9,60.7,16.03,14.74,820.36,5.179
Uttar Pradesh,Maize,Zaid,929.96,13.95,23.73,5.26,52.13,6.93,93.24,32.0,50.95,16.53,14.56,1184.58,5.3
Bihar,Soybean,Zaid,756.74,17.74,21.99,9.08,58.75,6.99,66.5,58.9,41.75,19.95,1.73,755.46,3.964
